"Marca temporal","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría"
"2024/05/16 7:00:42 p. m. EEST","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo"
"2024/05/16 7:19:33 p. m. EEST","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo"
"2024/05/16 7:43:24 p. m. EEST","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo"
"2024/05/16 9:19:48 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo"
"2024/05/16 9:36:25 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo"
"2024/05/17 12:26:22 a. m. EEST","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo"
"2024/05/17 12:40:27 a. m. EEST","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo"
"2024/05/17 12:41:14 a. m. EEST","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo"
"2024/05/17 7:36:39 a. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo"
"2024/05/17 10:46:41 a. m. EEST","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo"
"2024/05/17 11:20:05 a. m. EEST","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo"
"2024/05/17 11:33:23 a. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo"
"2024/05/17 11:39:35 a. m. EEST","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo"
"2024/05/17 12:02:34 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo"
"2024/05/17 12:22:17 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo"
